user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn,churn_risk_score,risk_tier
2717,2024-08-18,Premium,699,2.1,6,4,14,60,Yes,0.9831683433160466,Critical
1518,2023-11-09,Standard,399,2.8,8,5,1,39,Yes,0.979824907773521,Critical
36,2023-06-11,Basic,199,1.9,7,4,21,58,Yes,0.979330414060065,Critical
706,2023-02-10,Standard,399,1.0,6,2,13,46,Yes,0.9782341331132467,Critical
2383,2024-02-03,Basic,199,0.7,8,3,1,38,Yes,0.9773669513996597,Critical
1461,2023-11-22,Basic,199,1.1,5,4,1,52,Yes,0.976724394367515,Critical
247,2024-07-18,Basic,199,1.1,8,4,32,23,Yes,0.9738062029445489,Critical
2405,2024-12-04,Premium,699,4.7,8,2,27,47,Yes,0.9737020535800095,Critical
833,2024-09-10,Standard,399,2.6,6,3,9,57,Yes,0.9731071815161473,Critical
1510,2024-07-17,Basic,199,1.2,8,3,18,22,Yes,0.9718933877264513,Critical
222,2024-06-11,Premium,699,2.0,7,4,30,34,Yes,0.9718251756029184,Critical
579,2023-06-07,Basic,199,0.6,7,5,17,59,Yes,0.97165110363307,Critical
1026,2024-04-09,Premium,699,0.8,8,3,8,49,Yes,0.9708429987439271,Critical
2423,2024-09-20,Premium,699,1.1,7,2,12,24,Yes,0.9703956387995969,Critical
993,2023-03-20,Standard,399,2.1,8,3,18,27,Yes,0.9701618925683071,Critical
1089,2024-03-15,Premium,699,4.2,8,3,16,50,Yes,0.9701140377500668,Critical
497,2023-12-12,Premium,699,1.7,7,2,16,57,Yes,0.9700182024894156,Critical
236,2023-12-28,Premium,699,4.6,7,2,28,28,Yes,0.9697120606832925,Critical
2747,2023-01-29,Premium,699,2.4,5,5,16,33,Yes,0.9683914912882137,Critical
1086,2023-07-26,Premium,699,4.3,5,2,7,52,Yes,0.9683346560273184,Critical
2489,2024-08-23,Premium,699,1.1,2,5,6,36,Yes,0.9682195546268818,Critical
248,2024-02-25,Basic,199,2.1,6,5,6,46,Yes,0.9682052947839644,Critical
764,2024-04-13,Basic,199,2.1,7,4,14,31,Yes,0.9678225846557208,Critical
123,2023-06-07,Premium,699,2.8,1,3,27,60,Yes,0.9675516010814192,Critical
2123,2023-08-19,Standard,399,1.2,5,3,26,28,Yes,0.9670400493960273,Critical
1709,2024-12-23,Premium,699,1.4,0,4,7,57,Yes,0.9661038620415074,Critical
511,2023-10-17,Premium,699,0.7,5,4,7,41,Yes,0.9658662298276605,Critical
528,2024-06-16,Premium,699,4.6,0,2,20,60,Yes,0.9656888857153327,Critical
1841,2024-03-18,Premium,699,2.3,5,3,22,33,Yes,0.9651544539255927,Critical
1850,2024-06-12,Premium,699,2.8,2,4,8,58,Yes,0.9646338533812425,Critical
2143,2024-03-16,Premium,699,0.7,5,4,4,46,Yes,0.9629854317304016,Critical
2126,2024-10-18,Basic,199,2.1,1,5,27,57,Yes,0.9628967987602094,Critical
2526,2024-02-08,Premium,699,4.3,7,2,26,53,Yes,0.962491874513511,Critical
487,2024-12-04,Basic,199,2.0,6,4,36,26,Yes,0.9624221984540281,Critical
459,2023-08-27,Basic,199,1.9,7,4,18,22,Yes,0.9623926736970828,Critical
1499,2024-01-24,Basic,199,2.3,5,5,20,39,Yes,0.9622991383908002,Critical
1356,2024-03-04,Basic,199,3.2,5,2,20,60,Yes,0.9620226857781642,Critical
2483,2023-02-25,Premium,699,3.8,5,3,7,46,Yes,0.961921161599774,Critical
1034,2024-02-09,Premium,699,0.6,8,4,3,24,Yes,0.9619207998062322,Critical
250,2023-05-13,Premium,699,3.6,8,5,23,37,Yes,0.9617725313207663,Critical
1531,2023-05-06,Standard,399,1.5,8,5,13,21,Yes,0.961082904863431,Critical
1898,2024-01-20,Standard,399,3.0,7,4,18,38,Yes,0.9609623205545751,Critical
636,2024-07-02,Standard,399,3.1,6,5,24,37,Yes,0.9604784888061599,Critical
342,2024-10-14,Premium,699,2.8,6,3,3,35,Yes,0.9603229251883479,Critical
